name;category;B/AA
Ranunculus lingua;Boreal;B
Ranunculus nivalis;Arc;AA
Ranunculus peltatus;Boreal;B
Ranunculus platanifolius;Alp;AA
Ranunculus pygmaeus;Arc-alp;AA
Ranunculus repens;Boreal;B
Ranunculus reptans;Boreal;B
Ranunculus sulphureus;Arc;AA
Ranunculus trichophyllus;Boreal;B
Raphanus raphanistrum;Boreal;B
Rhinanthus angustifolius;Boreal;B
Rhinanthus minor;Boreal;B
Rhodiola rosea;Arc-alp;AA
Rhododendron lapponicum;Arc;AA
Rhododendron tomentosum;Boreal;B
Rhynchospora alba;Boreal;B
Rhynchospora fusca;Boreal;B
Ribes nigrum;Boreal;B
Ribes spicatum;Boreal;B
Rorippa palustris;Boreal;B
Rosa majalis;Boreal;B
Rosa spinosissima;Boreal;B
Rubus arcticus;Boreal;B
Rubus chamaemorus;Boreal;B
Rubus idaeus;Boreal;B
Rubus saxatilis;Boreal;B
Rumex acetosa;Boreal;B
Rumex acetosella;Boreal;B
Rumex aquaticus;Boreal;B
Rumex confertus;Boreal;B
Rumex graminifolius;Arc-alp;AA
Rumex longifolius;Boreal;B
Rumex thyrsiflorus;Boreal;B
Sabulina rubella;Arc;AA
Sabulina stricta;Arc-alp;AA
Sagina caespitosa;Arc;AA
Sagina nivalis;Arc;AA
Sagina nodosa;Boreal;B
Sagina procumbens;Boreal;B
Sagina saginoides;Arc-alp;AA
Sagittaria natans;Boreal;B
Sagittaria sagittifolia;Boreal;B
Salix arbuscula;Arc;AA
Salix aurita;Boreal;B
Salix caprea;Boreal;B
Salix cinerea;Boreal;B
Salix glauca;Arc;AA
Salix hastata;Arc-alp;AA
Salix herbacea;Arc-alp;AA
Salix lanata;Arc;AA
Salix lapponum;Boreal;B
Salix myrsinifolia;Boreal;B
Salix myrsinites;Arc;AA
Salix myrtilloides;Boreal;B
Salix pentandra;Boreal;B
Salix phylicifolia;Boreal;B
Salix polaris;Arc;AA
Salix repens;Boreal;B
Salix reticulata;Arc-alp;AA
Salix starkeana;Boreal;B
Saussurea alpina;Arc-alp;AA
Saxifraga adscendens;Alp;AA
Saxifraga aizoides;Arc-alp;AA
Saxifraga cernua;Arc-alp;AA
Saxifraga cespitosa;Arc;AA
Saxifraga cotyledon;Alp;AA
Saxifraga hirculus;Arc-alp;AA
Saxifraga oppositifolia;Arc-alp;AA
Saxifraga paniculata;Arc-alp;AA
Saxifraga rivularis;Arc;AA
Scheuchzeria palustris;Boreal;B
Schoenoplectus lacustris;Boreal;B
Schoenus ferrugineus;Boreal;B
Scirpus sylvaticus;Boreal;B
Scorzoneroides autumnalis;Boreal;B
Scrophularia nodosa;Boreal;B
Scutellaria galericulata;Boreal;B
Sedum acre;Boreal;B
Sedum album;Boreal;B
Sedum annuum;Boreal;B
Sedum villosum;Alp;AA
