X1,comm,n_sp,n_tr,FDpg,FDw,FDwcomm,qual.FD,nbsp,sing.sp,FRic,qual.FRic,FEve,FDiv,FDis,RaoQ,CWM.Seed_mass,CWM.Height,CWM.LDMC,CWM.SLA,CWM.Leaf_nitrogen,CWM.Leaf_area,CWM.Leaf_phosphorus
site1437134,6362,15,7,2.2879383821293953,2.2879383821293953,2.2879383821293953,0.6677380643333702,15,15,18.434770165740876,0.6633918675346904,0.8900711108258013,0.7663183401100552,2.4077469244265397,6.290821043784103,-1.6192145040555008,-0.20596563228638431,0.6094893523411358,-0.25714472457225307,-0.03888834278408857,-0.2976274026979993,-0.3934155259092758
site1437531,6363,7,7,1.4900549845784412,1.4900549845784412,1.4900549845784412,0.6677380643333702,7,7,12.917282406782707,0.6633918675346904,0.8232921938936757,0.7148867306387211,2.69586367944482,8.085208754997408,-1.071457751381168,0.6894621313512658,0.07318074780459594,0.36626161154486925,0.013614623292176943,0.20284336184645146,0.16455405162964176
site1437728,6364,7,7,1.434273781311168,1.434273781311168,1.434273781311168,0.6677380643333702,7,7,12.70398696585547,0.6633918675346904,0.8592727540721048,0.7117630113271581,2.80773751070316,8.516317807774225,-0.6909436887338285,0.40903228448659956,0.40837248392255165,0.13951235709616902,-0.25751134986420854,0.14926011191002386,-0.19659298857081153
site1437927,6365,3,7,0.8118466750734555,0.8118466750734555,0.8118466750734555,0.6677380643333702,3,3,0.34173900288752085,0.6633918675346904,0.7955105238641476,0.7503338575402844,2.64445982997023,7.1975993194740475,0.38187468954911374,0.13311274891587782,0.31122900863663827,0.36906497773108804,0.535302834309644,0.6368777539288353,0.13325498075603825
site1438128,6366,2,7,0.589717432550952,0.589717432550952,0.589717432550952,0.6677380643333702,2,2,NA,0.6633918675346904,NA,NA,1.609588350084465,2.590774656727628,-1.9629342061250994,0.352393020605087,0.0650754698754453,-0.20116152640375226,-0.07086221673457166,-0.08151831534028342,-0.8867706293243764
site1438337,6367,1,7,0.3913329616851584,0.3913329616851584,0.3913329616851584,0.6677380643333702,1,1,NA,0.6633918675346904,NA,NA,0,0,-0.7069925873819984,0.5150150636780355,0.4506810772912735,0.3733192260051557,0.4120642383963633,-0.014579034335814913,-1.4068867032711505
site1438529,6368,1,7,0.3913329616851584,0.3913329616851584,0.3913329616851584,0.6677380643333702,1,1,NA,0.6633918675346904,NA,NA,0,0,-2.385966701933097,-0.02592622576562944,-0.309534956777349,0.32982477472995464,-0.5949440269536019,0.5540933966158712,0.6851155302166311
site1438729,6369,2,7,0.589717432550952,0.589717432550952,0.589717432550952,0.6677380643333702,2,2,NA,0.6633918675346904,NA,NA,1.8363095083966121,3.3720326106278087,-1.2273261709063046,1.0224097315517862,0.21323149695710303,-1.1631552156331895,-0.8642803001062221,-0.09977798639008725,-0.4222569400004812
site1438930,6370,4,7,0.9707707841222091,0.9707707841222091,0.9707707841222091,0.6677380643333702,4,4,3.8069855970967694,0.6633918675346904,0.6053067224052503,0.7722422555538538,2.096976099426744,5.2003911823562925,-0.7637603207640196,1.309447751910865,-0.4539891191454155,0.48919824105649534,0.10150889815284612,0.7740635327151004,0.7447831137427006
site1439124,6371,27,7,3.7291113158447042,3.7291113158447042,3.7291113158447042,0.6677380643333702,27,27,26.522420323618174,0.6633918675346904,0.9262789262589147,0.6943507254221409,2.6258772337913863,7.72308692182794,-1.2589147074318063,0.09872692340540494,0.39243633067623995,-0.2754594816106474,-0.20008942466758314,-0.1515347460499896,-0.16247365354120505
site1439315,6372,47,7,5.742637222714518,5.742637222714518,5.742637222714518,0.6677380643333702,47,47,31.81356592036574,0.6633918675346904,0.8748626346120545,0.7016410877452767,2.408297961011817,6.697491620807913,-1.6953954721351245,-0.4062751660429119,0.06683930792924389,-0.016093822911070487,0.12879712118809,-0.48015524920641484,0.05085275021877844
site1439515,6373,6,7,1.3115869644908271,1.3115869644908271,1.3115869644908271,0.6677380643333702,6,6,4.150012208075753,0.6633918675346904,0.8522413543690857,0.654323591583204,2.2067334699327668,5.180358324101758,-0.6656077270580324,0.8844134421455702,-0.2837817811084497,0.6405838379927153,0.2720516333353166,0.4889623341713477,0.3957134383373282
site1439708,6374,15,7,2.313367843107125,2.313367843107125,2.313367843107125,0.6677380643333702,15,15,20.26807790547735,0.6633918675346904,0.8873360504999972,0.7609905912566395,2.4508664543102654,6.718501582600002,-1.4063721300267291,-0.007213600461461969,0.6189980137195638,-0.27246002063578817,-0.04744985752424154,-0.15284325453064249,-0.2932393826085583
site1439901,6375,65,7,7.376631720840057,7.376631720840057,7.376631720840057,0.6677380643333702,65,65,35.50705673354072,0.6633918675346904,0.8814454712964888,0.6955356026311467,2.4986708678947758,7.310312348465702,-1.339805282159979,-0.21772019048017455,-0.033884254083041375,0.07107600725057993,0.042141251968036496,-0.2319006679280154,0.07534900864896664
site1440102,6376,7,7,1.4900549845784412,1.4900549845784412,1.4900549845784412,0.6677380643333702,7,7,12.917282406782707,0.6633918675346904,0.8232921938936757,0.7148867306387211,2.69586367944482,8.085208754997408,-1.071457751381168,0.6894621313512658,0.07318074780459594,0.36626161154486925,0.013614623292176943,0.20284336184645146,0.16455405162964176
site1440293,6377,4,7,0.9250356375964912,0.9250356375964912,0.9250356375964912,0.6677380643333702,4,4,2.700935680464401,0.6633918675346904,0.7747328238754742,0.6773810391708014,2.1415211646919348,5.09138801569807,-0.5161461240354019,1.129915098736912,-0.07387231357295658,0.7494953093251342,-0.195619329392628,0.6364878242162513,0.4056532463811401
site1440486,6378,3,7,0.8118466750734555,0.8118466750734555,0.8118466750734555,0.6677380643333702,3,3,0.34173900288752085,0.6633918675346904,0.7955105238641476,0.7503338575402844,2.64445982997023,7.1975993194740475,0.38187468954911374,0.13311274891587782,0.31122900863663827,0.36906497773108804,0.535302834309644,0.6368777539288353,0.13325498075603825
site1440695,6379,5,7,1.105051836803416,1.105051836803416,1.105051836803416,0.6677380643333702,5,5,3.1016443929721653,0.6633918675346904,0.8521588035185131,0.693371031781801,2.260366892914471,5.2833595177661605,-0.3087662106199791,0.669594627531458,-0.5876959422076101,0.76630395122314,1.7198630838716815,0.5633248368618855,0.9759257422422198
site1440886,6380,4,7,0.9809883989594602,0.9809883989594602,0.9809883989594602,0.6677380643333702,4,4,3.3249581310173286,0.6633918675346904,0.782400570647328,0.7115870047017112,2.445251105429599,6.0600105914746,-0.5111878022861954,0.872619820722141,-0.2526576820447328,0.3451971688070836,0.276396510907809,0.6397935676082575,0.10728007874306
site1441080,6381,7,7,1.462452722859925,1.462452722859925,1.462452722859925,0.6677380643333702,7,7,13.152228699473593,0.6633918675346904,0.9121895907291816,0.697726422232271,2.7071502573839084,8.053014745684013,-1.2511309849816263,0.10092524865630856,0.29957856664629334,-0.2041703075226716,0.15153529508228775,-0.00959034058008433,0.11893853522307886
site1441279,6382,2,7,0.6236798190449131,0.6236798190449131,0.6236798190449131,0.6677380643333702,2,2,NA,0.6633918675346904,NA,NA,2.4476834056615595,5.991154054350986,-0.7987546707844133,0.9243858098164093,-0.26158804641763045,-0.25389395171673546,0.283180558118436,0.33363798849484266,-0.2019896868298311
site1441471,6383,7,7,1.434273781311168,1.434273781311168,1.434273781311168,0.6677380643333702,7,7,12.70398696585547,0.6633918675346904,0.8592727540721048,0.7117630113271581,2.80773751070316,8.516317807774225,-0.6909436887338285,0.40903228448659956,0.40837248392255165,0.13951235709616902,-0.25751134986420854,0.14926011191002386,-0.19659298857081153
