X1,comm,n_sp,n_tr,FDpg,FDw,FDwcomm,qual.FD,nbsp,sing.sp,FRic,qual.FRic,FEve,FDiv,FDis,RaoQ,CWM.Height,CWM.Seed_mass,CWM.LDMC,CWM.SLA,CWM.Leaf_nitrogen,CWM.Leaf_area,CWM.Leaf_phosphorus
site1517374,7612,14,7,1.618886471465705,1.618886471465705,1.618886471465705,0.6520936290889294,14,14,5.166094098074419,0.597248951486192,0.8812233642122884,0.6889934012461916,1.9041642583923244,3.937403203338446,-0.727343334384731,0.16988779896583964,0.21390952854040945,-0.13814242772389076,-0.19013073408418382,-0.30271955494673236,-0.21402789721465867
site1517568,7613,24,7,3.285539570013304,3.285539570013304,3.285539570013304,0.6520936290889294,24,24,13.567534616780799,0.597248951486192,0.8558535791988072,0.6686613008437932,2.3556887135922664,6.760710835840107,-0.026594170296369256,0.08124114149752715,0.17760785742620072,-0.15207649820886768,-0.05375039213650157,-0.10619703121634963,-0.29836130921064735
site1517763,7614,12,7,1.5175555006755832,1.5175555006755832,1.5175555006755832,0.6520936290889294,12,12,6.009862279087929,0.597248951486192,0.8099705699345221,0.6693345602029326,1.7648176589115108,3.972643446472846,-0.28482490380721537,-0.06544020399321404,0.4677137878123763,-0.2760501471500634,-0.6425832550427775,-0.7069283468764092,-0.5592109278993903
site1517958,7615,93,7,8.772762246885721,8.772762246885721,8.772762246885721,0.6520936290889294,93,93,27.6465576149796,0.597248951486192,0.8805355139813666,0.7264264003753753,2.3567739042388305,6.317291622913627,0.2140840833080354,0.015453458903720916,0.020036343755835757,-0.006409138926368499,0.1211212454494892,0.14893837536097243,0.12616100586684176
site1518150,7616,14,7,1.933803689487272,1.933803689487272,1.933803689487272,0.6520936290889294,14,14,12.291044067485053,0.597248951486192,0.8542883837140458,0.6929463241244718,2.0576708637133243,5.332461042226274,-0.3499705933116807,-0.038989265638574265,-0.04133902031168384,-0.40698946106033795,0.09884618154113924,-0.23526758405817494,0.13813353737109102
site1518346,7617,18,7,2.3740886763572613,2.3740886763572613,2.3740886763572613,0.6520936290889294,18,18,7.546160173846437,0.597248951486192,0.8784570940397142,0.7393236593459774,1.8986826744285041,4.202206660240617,-0.28059485192804573,0.1627454936511575,0.37537201187895386,-0.5926390380148133,-0.4195705933888021,-0.2938406427246302,-0.5293388943521432
site1518542,7618,8,7,1.199356593468965,1.199356593468965,1.199356593468965,0.6520936290889294,8,8,4.792170831469502,0.597248951486192,0.8550243757525574,0.686170521810294,1.8634009951898434,4.30992087929668,-0.45498937254661315,-0.10751893790702885,0.5444486258940758,-0.20873509484794567,-0.2665283247121258,-0.3578539872029451,-0.6077537764015658
site1518737,7619,126,7,11.475150769747733,11.475150769747733,11.475150769747733,0.6520936290889294,126,126,38.33381174312235,0.597248951486192,0.8903102066281424,0.6704236715382242,2.3900458575398287,6.616586571072662,0.10253640704534446,-0.04821055940918218,0.030004372422795616,-0.023392775058222466,-0.14827735431923675,0.14105737357660103,-0.035367046563356035
site1518941,7620,35,7,4.038929666224278,4.038929666224278,4.038929666224278,0.6520936290889294,35,35,19.58877103510363,0.597248951486192,0.8453469955792564,0.6643724001183984,2.051776442381226,5.038081268667547,-0.11240880843822276,-0.0273976956063716,0.7339655038161051,-0.4528516765673135,-0.4288176649415281,-0.4267515586089137,-0.6078416829475717
site1519135,7621,25,7,2.9235534181124763,2.9235534181124763,2.9235534181124763,0.6520936290889294,25,25,14.583865861777925,0.597248951486192,0.8977839643124129,0.6750013697417641,2.014737258831781,4.765701259860572,-0.30261773237360806,0.0647085123915028,0.7694510951017267,-0.5541556383907834,-0.33974472196179234,-0.14814969170289982,-0.5716391220477339
